[Mon, 24 Nov 2008 12:11:54 -0300] | pedidos.php [Linea:221] | Error 8: Undefined variable: nombre
[Tue, 25 Nov 2008 09:38:42 -0300] | pedidos.php [Linea:99] | Error 8: Undefined variable: rut_valido
[Tue, 25 Nov 2008 09:38:42 -0300] | pedidos.php [Linea:100] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:38:42 -0300] | pedidos.php [Linea:102] | Error 8: Undefined variable: fax_valido
[Tue, 25 Nov 2008 09:39:03 -0300] | pedidos.php [Linea:70] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:39:03 -0300] | pedidos.php [Linea:99] | Error 8: Undefined variable: rut_valido
[Tue, 25 Nov 2008 09:39:03 -0300] | pedidos.php [Linea:100] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:39:03 -0300] | pedidos.php [Linea:102] | Error 8: Undefined variable: fax_valido
[Tue, 25 Nov 2008 09:40:49 -0300] | pedidos.php [Linea:70] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:40:49 -0300] | pedidos.php [Linea:99] | Error 8: Undefined variable: rut_valido
[Tue, 25 Nov 2008 09:40:49 -0300] | pedidos.php [Linea:100] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:40:49 -0300] | pedidos.php [Linea:104] | Error 8: Undefined variable: fax_valido
[Tue, 25 Nov 2008 09:41:45 -0300] | pedidos.php [Linea:70] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:41:45 -0300] | pedidos.php [Linea:99] | Error 8: Undefined variable: rut_valido
[Tue, 25 Nov 2008 09:41:45 -0300] | pedidos.php [Linea:100] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:41:45 -0300] | pedidos.php [Linea:104] | Error 8: Undefined variable: fax_valido
[Tue, 25 Nov 2008 09:43:22 -0300] | pedidos.php [Linea:70] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:43:22 -0300] | pedidos.php [Linea:99] | Error 8: Undefined variable: rut_valido
[Tue, 25 Nov 2008 09:43:22 -0300] | pedidos.php [Linea:100] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:43:22 -0300] | pedidos.php [Linea:104] | Error 8: Undefined variable: fax_valido
[Tue, 25 Nov 2008 09:43:30 -0300] | pedidos.php [Linea:70] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:43:30 -0300] | pedidos.php [Linea:75] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:43:30 -0300] | pedidos.php [Linea:99] | Error 8: Undefined variable: rut_valido
[Tue, 25 Nov 2008 09:43:30 -0300] | pedidos.php [Linea:100] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:43:30 -0300] | pedidos.php [Linea:100] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:43:30 -0300] | pedidos.php [Linea:101] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:43:30 -0300] | pedidos.php [Linea:104] | Error 8: Undefined variable: fax_valido
[Tue, 25 Nov 2008 09:43:37 -0300] | pedidos.php [Linea:70] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:43:37 -0300] | pedidos.php [Linea:75] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:43:37 -0300] | pedidos.php [Linea:99] | Error 8: Undefined variable: rut_valido
[Tue, 25 Nov 2008 09:43:37 -0300] | pedidos.php [Linea:100] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:43:37 -0300] | pedidos.php [Linea:100] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:43:37 -0300] | pedidos.php [Linea:101] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:43:37 -0300] | pedidos.php [Linea:104] | Error 8: Undefined variable: fax_valido
[Tue, 25 Nov 2008 09:43:44 -0300] | pedidos.php [Linea:70] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:43:44 -0300] | pedidos.php [Linea:75] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:43:44 -0300] | pedidos.php [Linea:99] | Error 8: Undefined variable: rut_valido
[Tue, 25 Nov 2008 09:43:44 -0300] | pedidos.php [Linea:100] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:43:44 -0300] | pedidos.php [Linea:100] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:43:44 -0300] | pedidos.php [Linea:101] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:43:44 -0300] | pedidos.php [Linea:104] | Error 8: Undefined variable: fax_valido
[Tue, 25 Nov 2008 09:45:12 -0300] | pedidos.php [Linea:75] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:45:12 -0300] | pedidos.php [Linea:99] | Error 8: Undefined variable: rut_valido
[Tue, 25 Nov 2008 09:45:12 -0300] | pedidos.php [Linea:101] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:45:12 -0300] | pedidos.php [Linea:104] | Error 8: Undefined variable: fax_valido
[Tue, 25 Nov 2008 09:45:25 -0300] | pedidos.php [Linea:70] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:45:25 -0300] | pedidos.php [Linea:75] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:45:25 -0300] | pedidos.php [Linea:99] | Error 8: Undefined variable: rut_valido
[Tue, 25 Nov 2008 09:45:25 -0300] | pedidos.php [Linea:100] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:45:25 -0300] | pedidos.php [Linea:100] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:45:25 -0300] | pedidos.php [Linea:101] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:45:25 -0300] | pedidos.php [Linea:104] | Error 8: Undefined variable: fax_valido
[Tue, 25 Nov 2008 09:46:15 -0300] | pedidos.php [Linea:70] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:46:15 -0300] | pedidos.php [Linea:75] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:46:15 -0300] | pedidos.php [Linea:99] | Error 8: Undefined variable: rut_valido
[Tue, 25 Nov 2008 09:46:15 -0300] | pedidos.php [Linea:100] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:46:15 -0300] | pedidos.php [Linea:100] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:46:15 -0300] | pedidos.php [Linea:101] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:46:15 -0300] | pedidos.php [Linea:104] | Error 8: Undefined variable: fax_valido
[Tue, 25 Nov 2008 09:46:25 -0300] | pedidos.php [Linea:75] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:46:25 -0300] | pedidos.php [Linea:99] | Error 8: Undefined variable: rut_valido
[Tue, 25 Nov 2008 09:46:25 -0300] | pedidos.php [Linea:101] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:46:25 -0300] | pedidos.php [Linea:104] | Error 8: Undefined variable: fax_valido
[Tue, 25 Nov 2008 09:46:45 -0300] | pedidos.php [Linea:70] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:46:45 -0300] | pedidos.php [Linea:75] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:46:45 -0300] | pedidos.php [Linea:99] | Error 8: Undefined variable: rut_valido
[Tue, 25 Nov 2008 09:46:45 -0300] | pedidos.php [Linea:100] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:46:45 -0300] | pedidos.php [Linea:100] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:46:45 -0300] | pedidos.php [Linea:101] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:46:45 -0300] | pedidos.php [Linea:104] | Error 8: Undefined variable: fax_valido
[Tue, 25 Nov 2008 09:46:48 -0300] | pedidos.php [Linea:70] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:46:48 -0300] | pedidos.php [Linea:75] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:46:48 -0300] | pedidos.php [Linea:99] | Error 8: Undefined variable: rut_valido
[Tue, 25 Nov 2008 09:46:48 -0300] | pedidos.php [Linea:100] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:46:48 -0300] | pedidos.php [Linea:100] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:46:48 -0300] | pedidos.php [Linea:101] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:46:48 -0300] | pedidos.php [Linea:104] | Error 8: Undefined variable: fax_valido
[Tue, 25 Nov 2008 09:52:25 -0300] | pedidos.php [Linea:75] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:52:25 -0300] | pedidos.php [Linea:81] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:52:25 -0300] | pedidos.php [Linea:106] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:52:25 -0300] | pedidos.php [Linea:106] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:52:25 -0300] | pedidos.php [Linea:107] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:52:25 -0300] | pedidos.php [Linea:110] | Error 8: Undefined variable: fax_valido
[Tue, 25 Nov 2008 09:52:42 -0300] | pedidos.php [Linea:75] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:52:42 -0300] | pedidos.php [Linea:81] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:52:42 -0300] | pedidos.php [Linea:105] | Error 8: Undefined variable: rut_valido
[Tue, 25 Nov 2008 09:52:42 -0300] | pedidos.php [Linea:106] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:52:42 -0300] | pedidos.php [Linea:106] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:52:42 -0300] | pedidos.php [Linea:107] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:52:42 -0300] | pedidos.php [Linea:110] | Error 8: Undefined variable: fax_valido
[Tue, 25 Nov 2008 09:54:32 -0300] | pedidos.php [Linea:78] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:54:32 -0300] | pedidos.php [Linea:87] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:54:32 -0300] | pedidos.php [Linea:112] | Error 8: Undefined variable: rut_valido
[Tue, 25 Nov 2008 09:54:32 -0300] | pedidos.php [Linea:113] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:54:32 -0300] | pedidos.php [Linea:113] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:54:32 -0300] | pedidos.php [Linea:114] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:54:32 -0300] | pedidos.php [Linea:117] | Error 8: Undefined variable: fax_valido
[Tue, 25 Nov 2008 09:54:35 -0300] | pedidos.php [Linea:78] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:54:35 -0300] | pedidos.php [Linea:87] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:54:35 -0300] | pedidos.php [Linea:112] | Error 8: Undefined variable: rut_valido
[Tue, 25 Nov 2008 09:54:35 -0300] | pedidos.php [Linea:113] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:54:35 -0300] | pedidos.php [Linea:113] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:54:35 -0300] | pedidos.php [Linea:114] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:54:35 -0300] | pedidos.php [Linea:117] | Error 8: Undefined variable: fax_valido
[Tue, 25 Nov 2008 09:54:38 -0300] | pedidos.php [Linea:78] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:54:38 -0300] | pedidos.php [Linea:87] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:54:38 -0300] | pedidos.php [Linea:112] | Error 8: Undefined variable: rut_valido
[Tue, 25 Nov 2008 09:54:38 -0300] | pedidos.php [Linea:113] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:54:38 -0300] | pedidos.php [Linea:113] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:54:38 -0300] | pedidos.php [Linea:114] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:54:38 -0300] | pedidos.php [Linea:117] | Error 8: Undefined variable: fax_valido
[Tue, 25 Nov 2008 09:54:41 -0300] | pedidos.php [Linea:78] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:54:41 -0300] | pedidos.php [Linea:87] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:54:41 -0300] | pedidos.php [Linea:112] | Error 8: Undefined variable: rut_valido
[Tue, 25 Nov 2008 09:54:41 -0300] | pedidos.php [Linea:113] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:54:41 -0300] | pedidos.php [Linea:113] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:54:41 -0300] | pedidos.php [Linea:114] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:54:41 -0300] | pedidos.php [Linea:117] | Error 8: Undefined variable: fax_valido
[Tue, 25 Nov 2008 09:55:18 -0300] | pedidos.php [Linea:80] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:55:18 -0300] | pedidos.php [Linea:87] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:55:18 -0300] | pedidos.php [Linea:112] | Error 8: Undefined variable: rut_valido
[Tue, 25 Nov 2008 09:55:18 -0300] | pedidos.php [Linea:113] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:55:18 -0300] | pedidos.php [Linea:113] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:55:18 -0300] | pedidos.php [Linea:114] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:55:18 -0300] | pedidos.php [Linea:117] | Error 8: Undefined variable: fax_valido
[Tue, 25 Nov 2008 09:55:21 -0300] | pedidos.php [Linea:80] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:55:21 -0300] | pedidos.php [Linea:87] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:55:21 -0300] | pedidos.php [Linea:112] | Error 8: Undefined variable: rut_valido
[Tue, 25 Nov 2008 09:55:21 -0300] | pedidos.php [Linea:113] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:55:21 -0300] | pedidos.php [Linea:113] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:55:21 -0300] | pedidos.php [Linea:114] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:55:21 -0300] | pedidos.php [Linea:117] | Error 8: Undefined variable: fax_valido
[Tue, 25 Nov 2008 09:55:24 -0300] | pedidos.php [Linea:80] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:55:24 -0300] | pedidos.php [Linea:87] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:55:24 -0300] | pedidos.php [Linea:112] | Error 8: Undefined variable: rut_valido
[Tue, 25 Nov 2008 09:55:24 -0300] | pedidos.php [Linea:113] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:55:24 -0300] | pedidos.php [Linea:113] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:55:24 -0300] | pedidos.php [Linea:114] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:55:24 -0300] | pedidos.php [Linea:117] | Error 8: Undefined variable: fax_valido
[Tue, 25 Nov 2008 09:55:27 -0300] | pedidos.php [Linea:80] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:55:27 -0300] | pedidos.php [Linea:87] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:55:27 -0300] | pedidos.php [Linea:112] | Error 8: Undefined variable: rut_valido
[Tue, 25 Nov 2008 09:55:27 -0300] | pedidos.php [Linea:113] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:55:27 -0300] | pedidos.php [Linea:113] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:55:27 -0300] | pedidos.php [Linea:114] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:55:27 -0300] | pedidos.php [Linea:117] | Error 8: Undefined variable: fax_valido
[Tue, 25 Nov 2008 09:56:05 -0300] | pedidos.php [Linea:80] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:56:05 -0300] | pedidos.php [Linea:87] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:56:05 -0300] | pedidos.php [Linea:112] | Error 8: Undefined variable: rut_valido
[Tue, 25 Nov 2008 09:56:05 -0300] | pedidos.php [Linea:113] | Error 8: Undefined variable: rut_rep_legal_valido
[Tue, 25 Nov 2008 09:56:05 -0300] | pedidos.php [Linea:113] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:56:05 -0300] | pedidos.php [Linea:114] | Error 8: Undefined variable: rut_digit_rep_legal_valido
[Tue, 25 Nov 2008 09:56:05 -0300] | pedidos.php [Linea:117] | Error 8: Undefined variable: fax_valido
